mu1 sig1 mu2 sig2 rho n
4.95091 0.015738 6.6189 1.105082 0.099586 9728
4.918572 0.038405 3.080114 0.240527 0.209938 118
5.049362 0.093773 4.907026 0.594873 0.602182 18
4.989171 0.389292 3.499296 0.618824 0.810938 1
4.972678 0.015048 6.011851 1.167606 0.059234 9741
4.977413 0.052454 2.236934 0.157994 -0.308845 96
4.924575 0.099609 5.641522 1.054995 -0.841246 28
4.956832 0.015863 6.585984 0.997803 0.100203 9730
4.931123 0.038757 3.120077 0.256123 0.090137 122
5.024724 0.124044 7.2061210000000004 0.550993 0.634149 13
4.993265 0.014934 6.191011 1.214879 0.054725 9659
4.987687 0.047944 2.548112 0.304274 -0.187178 92
5.015978 0.061029 5.528202 1.224034 -0.156952 114
4.944747 0.015591 6.117646 1.10105 0.018344 9742
4.912438 0.039736 2.480272 0.253832 -0.409426 108
4.988172 0.076683 4.232927 1.164976 0.099575 15
4.994825 0.015518 5.398326 1.043517 0.012497 9697
4.986466 0.039783 1.955167 0.300569 -0.308925 128
4.945029 0.083556 5.39902 0.9744 -0.857152 31
4.947396 0.116637 5.546265 0.579352 0.592787 8
4.989415 0.07133 4.522701 0.474154 0.361205 1
4.971602 0.015331 6.374248 1.153262 0.070209 9714
4.997736 0.044915 2.694489 0.242123 -0.015924 111
4.971263 0.09817 5.851848 1.083346 0.350745 7
4.955739 0.107679 6.473349 0.379741 0.25662 7
5.072025 0.033425 5.019206 1.487249 0.810008 3
5.039751 0.045511 5.304395 0.967908 0.199059 1
4.948784 0.054894 4.166768 0.301293 0.523874 14
4.917963 0.102331 5.219065 1.542747 0.976891 7
4.981521 0.034319 6.477171 0.764395 -0.683988 1
4.960321 0.015366 8.310665 0.938433 0.126677 9714
4.939912 0.037357 4.955175 0.38193 0.229625 151
4.958272 0.015709 5.91089 1.15318 0.056147 9689
4.929687 0.043801 2.197257 0.292312 -0.320822 89
5.007556 0.081896 4.586954 2.00369 0.409545 74
4.960843 0.064169 5.377126 1.517794 -0.045944 13
4.960413 0.015309 6.911319 1.242481 0.14394 9695
4.901234 0.069153 3.053944 0.169717 -0.443707 84
4.936172 0.080683 4.145289 0.733832 -0.085387 10
4.958852 0.066509 6.399378 1.149305 -0.556488 63
4.960138 0.104462 5.693286 0.421475 0.093252 11
4.973717 0.053405 3.639655 0.137307 -0.554352 1
4.975482 0.055737 5.607763 0.203533 0.716536 1
4.955333 0.015903 7.703908 1.206028 0.077248 9753
4.908874 0.052661 4.115838 0.2203 -0.21766 112
5.00983 0.016078 7.029915 1.08249 0.061679 9758
4.990126 0.046083 3.384309 0.179444 0.273436 106
4.975514 0.100367 5.225233 0.530959 0.45236 1
4.962843 0.015674 6.545563 1.106658 0.055995 9746
4.941056 0.036242 2.919018 0.212139 0.042639 118
4.995221 0.034222 4.719427 0.230559 -0.161707 1
4.951279 0.015218 7.060896 0.978194 0.06241 9696
4.907568 0.057583 3.58569 0.3072 -0.354105 127
4.928088 0.090354 6.092134 0.992035 0.111251 42
4.972906 0.015649 7.62573 1.169614 0.110957 9680
4.962508 0.048577 3.943097 0.178675 -0.165393 93
5.010198 0.082837 6.172267 1.674227 0.361944 53
4.98292 0.053064 6.166096 0.781082 -0.407244 39
4.963628 0.015508 7.533767 1.118795 0.107448 9747
4.973944 0.052517 3.878876 0.22678 0.345873 101
5.044433 0.095461 4.41749 2.367192 0.401953 17
4.978991 0.015649 5.340452 0.948173 0.026231 9699
4.95578 0.027262 1.90998 0.356962 -0.399446 151
4.98921 0.115026 4.22581 2.709493 -0.424076 12
4.963811 0.188551 5.631673 1.499946 -0.314567 3
4.96219 0.015891 5.554906 1.100956 0.036813 9750
4.922283 0.046786 1.898169 0.22907 -0.376391 113
4.925346 0.029801 5.679458 0.628771 -0.060606 2
4.960989 0.015161000000000001 6.573626 1.064138 0.097367 9721
4.955079 0.033547 3.020306 0.198 0.240701 118
4.97768 0.079006 5.604467 0.84834 0.288176 26
4.980907 0.015758 7.112819 1.028298 0.094718 9697
4.974322 0.033445 3.561822 0.279942 0.441979 126
4.991785 0.050649 5.884386 0.625516 -0.355252 40
4.997221 0.21162 4.149128 0.717782 0.724168 1
4.999695 0.058558 3.168193 0.563417 -0.901965 1
4.974891 0.015684 6.984054 1.057622 0.072941 9703
4.971175 0.036131 3.411512 0.234956 0.015645 108
5.02701 0.114648 5.947623 0.630477 -0.455378 25
4.941954 0.100617 6.331529 0.461294 0.599612 6
4.922009 0.083243 3.682567 0.392496 -0.515688 14
4.936767 0.216169 6.227365 0.884218 0.459838 1
4.982391 0.056475 3.449643 0.793756 0.255378 6
4.938255 0.249217 6.438448 0.615967 -0.07103 1
4.971126 0.067015 4.93483 0.985243 0.762428 1
4.985456 0.015154 7.260307 1.244502 0.088872 9713
4.96472 0.03849 3.358229 0.1818 -0.00906 100
5.054957 0.101135 5.408407 1.470319 0.094815 51
4.945262 0.158815 4.508467 0.851669 0.229328 1
4.945922 0.015995 6.631879 1.110876 0.090973 9732
4.953349 0.04171 2.924832 0.249281 0.132649 106
5.003633 0.118686 5.411572 1.424345 0.038466 19
5.037463 0.135379 5.654806 0.63307 -0.942369 8
4.923441 0.015648 5.851694 1.136901 0.029986 9731
4.878094 0.032859 2.129942 0.256094 -0.356664 115
5.001705 0.21397 5.279105 0.998228 -0.652345 6
4.94037 0.025214 6.19162 1.613306 0.879486 6
4.948832 0.327755 3.798265 0.759987 -0.702877 1
4.968344 0.054863 3.85578 0.07168 0.220062 6
4.98764 0.01575 6.485677 1.109113 0.048773 9704
4.972599 0.042153 2.903454 0.167208 0.160983 114
5.026206 0.062192 5.315274 0.709301 -0.356324 29
4.898061 0.166728 3.905417 0.405484 0.925235 10
4.975053 0.06004 6.758731 1.31469 -0.938346 8
