mu1 sig1 mu2 sig2 rho n
4.875572 0.146856 4.24111 0.893144 -0.231488 33
4.983452 0.10518 3.3518 0.245149 0.917229 4
4.96664 0.078118 3.367189 0.787524 -0.836628 1
4.957533 0.015398 5.585043 0.993271 0.106901 13559
4.954523 0.026668 2.466161 0.286751 -0.077046 353
4.883642 0.098833 4.725211 1.063718 0.176851 18
4.968236 0.159121 5.443063 0.369592 0.158832 6
4.943823 0.015406 4.853534 1.003628 0.097103 13570
4.94601 0.028763 1.736382 0.253806 -0.129223 345
4.800622 0.173062 4.535062 0.369579 0.734205 17
4.931506 0.075181 6.657308 0.729963 -0.196269 3
4.953785 0.064992 4.255735 0.909301 0.519594 1
4.954141 0.015346 4.917784 0.988886 0.096257 13528
4.944312 0.024341 1.785554 0.239508 0.129688 333
4.821363 0.079772 4.002589 0.330095 -0.418461 75
5.003932 0.015257 5.532635 0.917427 0.091363 13550
4.990043 0.024973 2.434943 0.222462 0.070747 355
4.952104 0.141145 4.83294 1.617101 0.586499 31
4.968165 0.015255 5.235607 0.982651 0.087684 13468
4.951179 0.026737 2.139871 0.222413 -6.28e-4 367
4.831666 0.052042 3.831957 0.174432 -0.460306 101
4.948127 0.015352 6.241537 1.083147 0.126384 13531
4.955913 0.024621 3.07976 0.217601 0.111661 342
4.845299 0.094024 5.696213 0.440792 0.661521 63
4.984898 0.014922 6.040259 1.021534 0.089575 13470
4.990733 0.027858 2.809898 0.208832 0.190727 328
4.841717 0.068129 4.463022 0.781637 -0.177937 135
4.997862 0.076724 3.405934 0.826155 0.59544 2
4.945445 0.239854 6.661938 0.565364 0.228167 1
4.968217 0.015659 6.363452 0.941522 0.117289 13513
4.949884 0.024159 3.289071 0.286026 -0.052112 386
4.882694 0.131707 4.812153 0.358871 -0.898624 31
5.031967 0.155437 4.490356 0.886767 -0.007212 6
4.963165 0.015308 5.436237 0.940408 0.102614 13537
4.951742 0.023093 2.348232 0.214479 0.087757 351
4.983464 0.206253 4.82258 0.26223 0.681081 3
4.969531 0.099339 4.428258 1.355527 -0.431606 45
4.955966 0.01539 4.949334 1.035981 0.083961 13571
4.941491 0.021427 1.802144 0.223297 0.065913 338
4.841447 0.156697 4.823277 0.555288 0.892787 27
4.95869 0.015551 5.494441 0.94477 0.1297 13533
4.954582 0.025186 2.371578 0.186989 0.171467 353
4.792782 0.070602 3.859547 0.369311 -0.456924 24
4.98162 0.050579 3.826929 1.045419 0.196816 24
4.969614 0.052653 3.963277 0.673415 0.621509 2
4.995116 0.015413 4.918807 1.012858 0.065193 13467
4.979658 0.02617 1.820963 0.283386 0.032527 363
4.8199 0.084402 3.726878 0.562828 -0.315992 106
5.004091 0.025155 2.711751 0.270252 0.260714 388
4.990252 0.015321 5.728783 0.907646 0.104876 13471
4.948187 0.095379 5.425551 1.369254 0.516218 28
4.927791 0.074285 4.918271 1.139501 0.148425 27
4.962491 0.06726 4.012099 1.337868 0.243978 14
5.037129 0.091008 4.618817 0.672536 -0.1821 5
4.962878 0.037037 5.219112 0.026066 0.592592 3
4.989638 0.015446 5.068552 0.938517 0.086367 13533
4.977541 0.024776 1.925684 0.208167 -0.039595 368
4.88886 0.181652 4.75321 1.713265 0.470057 21
4.99754 0.05276 3.721592 0.558906 0.864192 6
4.977665 0.091868 4.328145 0.636643 -0.744199 6
4.971306 0.089769 5.159549 0.470343 -0.452192 2
4.951316 0.015371 5.442258 0.994291 0.109002 13526
4.946225 0.02664 2.340426 0.262781 -0.091657 381
4.921189 0.162524 4.861069 0.446565 0.533142 26
5.012575 0.043861 5.924866 1.045376 0.351485 3
4.970537 0.01526 5.699634 0.949855 0.053404 13424
